id,orf00020-17,orf00046-42,orf00069-59,orf00074-62,orf00171-138,orf00269-218,orf00379-310,orf00657-545,orf00945-804,orf00946-805,orf01041-885,orf01048-890,orf01207-1024,orf01285-1087,orf01343-1136
GO:0003735,5,0,0,0,0,0,0,0,5,5,0,0,0,0,5
GO:0006525,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006433,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006560,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004827,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006144,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006206,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006184,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
GO:0006448,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
GO:0003746,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
GO:0006508,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
GO:0003676,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
GO:0006200,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
GO:0008654,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
GO:0046486,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
GO:0016021,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0
GO:0016787,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
GO:0030145,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
GO:0006810,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
GO:0008152,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
GO:0042026,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
GO:0015976,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
GO:0016310,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
GO:0006096,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
GO:0004618,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
